date,kpi_name,logged_value,unit,frequency,kpi_threshold,client_id,logged_at
2025-06-01,on_time_performance,89.2,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T08:00:00
2025-06-01,on_time_performance,89.0,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T09:06:00
2025-06-01,on_time_performance,86.5,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T10:12:00
2025-06-01,on_time_performance,84.6,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T11:18:00
2025-06-01,on_time_performance,84.6,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T12:24:00
2025-06-01,on_time_performance,86.6,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T13:30:00
2025-06-01,on_time_performance,85.1,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T14:36:00
2025-06-01,on_time_performance,87.6,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T15:42:00
2025-06-01,on_time_performance,86.3,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T16:48:00
2025-06-01,on_time_performance,86.5,%,Daily,68958470d97275e03c78ebc0,2,2025-06-01T17:54:00
2025-06-01,flight_cancellation_rate,0.86,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T08:00:00
2025-06-01,flight_cancellation_rate,0.73,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T09:06:00
2025-06-01,flight_cancellation_rate,0.58,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T10:12:00
2025-06-01,flight_cancellation_rate,0.69,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T11:18:00
2025-06-01,flight_cancellation_rate,1.19,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T12:24:00
2025-06-01,flight_cancellation_rate,0.95,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T13:30:00
2025-06-01,flight_cancellation_rate,0.82,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T14:36:00
2025-06-01,flight_cancellation_rate,0.92,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T15:42:00
2025-06-01,flight_cancellation_rate,0.89,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T16:48:00
2025-06-01,flight_cancellation_rate,0.94,%,Daily,6895848ad97275e03c78ebc1,2,2025-06-01T17:54:00
2025-06-01,passenger_load_factor,80.8,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T08:00:00
2025-06-01,passenger_load_factor,79.7,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T09:06:00
2025-06-01,passenger_load_factor,79.3,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T10:12:00
2025-06-01,passenger_load_factor,79.8,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T11:18:00
2025-06-01,passenger_load_factor,82.4,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T12:24:00
2025-06-01,passenger_load_factor,79.9,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T13:30:00
2025-06-01,passenger_load_factor,81.4,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T14:36:00
2025-06-01,passenger_load_factor,79.3,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T15:42:00
2025-06-01,passenger_load_factor,81.2,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T16:48:00
2025-06-01,passenger_load_factor,80.8,%,Daily,689584bbd97275e03c78ebc4,2,2025-06-01T17:54:00
2025-06-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T08:00:00
2025-06-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T09:06:00
2025-06-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T10:12:00
2025-06-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T11:18:00
2025-06-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T12:24:00
2025-06-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T13:30:00
2025-06-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T14:36:00
2025-06-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T15:42:00
2025-06-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T16:48:00
2025-06-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2025-06-01T17:54:00
2025-06-01,aircraft_utilization_rate,8.8,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T08:00:00
2025-06-01,aircraft_utilization_rate,8.8,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T09:06:00
2025-06-01,aircraft_utilization_rate,9.0,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T10:12:00
2025-06-01,aircraft_utilization_rate,8.9,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T11:18:00
2025-06-01,aircraft_utilization_rate,8.7,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T12:24:00
2025-06-01,aircraft_utilization_rate,9.1,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T13:30:00
2025-06-01,aircraft_utilization_rate,8.8,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T14:36:00
2025-06-01,aircraft_utilization_rate,9.0,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T15:42:00
2025-06-01,aircraft_utilization_rate,8.8,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T16:48:00
2025-06-01,aircraft_utilization_rate,8.3,Hours,Daily,68958562d97275e03c78ebcd,2,2025-06-01T17:54:00
2025-06-01,average_delay_per_flight,9.4,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T08:00:00
2025-06-01,average_delay_per_flight,14.5,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T09:06:00
2025-06-01,average_delay_per_flight,19.2,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T10:12:00
2025-06-01,average_delay_per_flight,24.6,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T11:18:00
2025-06-01,average_delay_per_flight,21.9,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T12:24:00
2025-06-01,average_delay_per_flight,20.9,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T13:30:00
2025-06-01,average_delay_per_flight,24.3,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T14:36:00
2025-06-01,average_delay_per_flight,20.0,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T15:42:00
2025-06-01,average_delay_per_flight,14.5,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T16:48:00
2025-06-01,average_delay_per_flight,10.7,Minutes,Daily,689584dfd97275e03c78ebc7,2,2025-06-01T17:54:00
2025-06-01,check_in_counter_wait_time,6.7,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T08:00:00
2025-06-01,check_in_counter_wait_time,7.1,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T09:06:00
2025-06-01,check_in_counter_wait_time,7.3,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T10:12:00
2025-06-01,check_in_counter_wait_time,11.6,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T11:18:00
2025-06-01,check_in_counter_wait_time,11.4,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T12:24:00
2025-06-01,check_in_counter_wait_time,12.0,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T13:30:00
2025-06-01,check_in_counter_wait_time,9.4,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T14:36:00
2025-06-01,check_in_counter_wait_time,9.4,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T15:42:00
2025-06-01,check_in_counter_wait_time,6.6,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T16:48:00
2025-06-01,check_in_counter_wait_time,5.1,Minutes,Daily,6895854fd97275e03c78ebcc,2,2025-06-01T17:54:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.63,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T08:00:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.65,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T09:06:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.58,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T10:12:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.67,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T11:18:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.67,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T12:24:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.63,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T13:30:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.63,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T14:36:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.59,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T15:42:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.6,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T16:48:00
2025-06-01,revenue_per_available_seat_kilometer_rask,2.61,USD,Monthly,689584a2d97275e03c78ebc2,2,2025-06-01T17:54:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.74,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T08:00:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.75,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T09:06:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.81,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T10:12:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.82,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T11:18:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.82,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T12:24:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.78,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T13:30:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.76,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T14:36:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.73,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T15:42:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.76,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T16:48:00
2025-06-01,cost_per_available_seat_kilometer_cask,3.71,USD,Monthly,689584b0d97275e03c78ebc3,2,2025-06-01T17:54:00
2025-06-01,net_promoter_score_nps,31,Score,Monthly,689584d2d97275e03c78ebc6,2,2025-06-01T08:00:00
